,date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,cluster,season,pattern
0,2011-01-01,102.0,102.0,102.0,102.0,102.0,102.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,102.0,100.0,100.0,102.0,100.0,100.0,100.0,100.0,102.0,0,Winter,low_load
1,2011-01-02,100.0,100.0,102.0,102.0,102.0,100.0,100.0,102.0,100.0,100.0,100.0,102.0,100.0,102.0,100.0,100.0,100.0,100.0,100.0,100.0,102.0,100.0,102.0,100.0,0,Winter,low_load
2,2011-01-03,100.0,102.0,100.0,102.0,102.0,100.0,100.0,100.0,102.0,100.0,102.0,102.0,100.0,102.0,100.0,102.0,100.0,102.0,100.0,102.0,100.0,100.0,100.0,100.0,0,Winter,low_load
3,2011-01-04,100.0,100.0,102.0,102.0,102.0,100.0,102.0,100.0,100.0,102.0,102.0,102.0,102.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,98.0,100.0,100.0,0,Winter,low_load
4,2011-01-05,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,102.0,98.0,100.0,0,Winter,low_load
5,2011-01-06,100.0,102.0,100.0,100.0,102.0,100.0,100.0,100.0,100.0,100.0,100.0,102.0,100.0,100.0,104.0,108.0,106.0,100.0,102.0,102.0,102.0,104.0,102.0,102.0,2,Winter,moderate_load
6,2011-01-07,102.0,104.0,104.0,102.0,104.0,102.0,102.0,104.0,102.0,102.0,102.0,100.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,2,Winter,moderate_load
7,2011-01-08,102.0,104.0,106.0,102.0,104.0,102.0,102.0,104.0,102.0,102.0,102.0,102.0,104.0,108.0,96.0,102.0,102.0,102.0,102.0,104.0,102.0,102.0,102.0,102.0,2,Winter,moderate_load
8,2011-01-09,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,104.0,100.0,102.0,104.0,100.0,104.0,102.0,102.0,102.0,100.0,104.0,102.0,100.0,102.0,102.0,2,Winter,moderate_load
9,2011-01-10,100.0,100.0,102.0,102.0,102.0,102.0,100.0,100.0,102.0,100.0,102.0,100.0,104.0,102.0,102.0,100.0,100.0,102.0,102.0,102.0,102.0,100.0,102.0,102.0,2,Winter,moderate_load
10,2011-01-11,100.0,102.0,102.0,102.0,102.0,100.0,102.0,100.0,102.0,102.0,100.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,100.0,102.0,102.0,102.0,100.0,102.0,2,Winter,moderate_load
11,2011-01-12,102.0,100.0,102.0,102.0,102.0,100.0,102.0,100.0,102.0,100.0,100.0,102.0,102.0,102.0,102.0,102.0,100.0,102.0,102.0,102.0,102.0,102.0,102.0,100.0,2,Winter,moderate_load
12,2011-01-13,102.0,102.0,102.0,102.0,104.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,108.0,110.0,108.0,102.0,102.0,100.0,102.0,100.0,104.0,100.0,2,Winter,moderate_load
13,2011-01-14,102.0,102.0,102.0,102.0,100.0,102.0,102.0,100.0,100.0,102.0,100.0,100.0,102.0,102.0,102.0,106.0,102.0,102.0,100.0,100.0,102.0,100.0,100.0,102.0,2,Winter,moderate_load
