time,power (kw),SourceFileDate
2018-01-01 00:00:00,840.76,2018-01-01
2018-01-01 01:00:00,712.29,2018-01-01
2018-01-01 02:00:00,585.82,2018-01-01
2018-01-01 03:00:00,520.49,2018-01-01
2018-01-01 04:00:00,422.83,2018-01-01
2018-01-01 05:00:00,440.22,2018-01-01
2018-01-01 06:00:00,457.37,2018-01-01
2018-01-01 07:00:00,464.7,2018-01-01
2018-01-01 08:00:00,539.04,2018-01-01
2018-01-01 09:00:00,656.43,2018-01-01
2018-01-01 10:00:00,680.15,2018-01-01
2018-01-01 11:00:00,710.31,2018-01-01
2018-01-01 12:00:00,761.7,2018-01-01
2018-01-01 13:00:00,743.72,2018-01-01
2018-01-01 14:00:00,757.79,2018-01-01
2018-01-01 15:00:00,785.94,2018-01-01
2018-01-01 16:00:00,868.97,2018-01-01
2018-01-01 17:00:00,871.56,2018-01-01
2018-01-01 18:00:00,1017.69,2018-01-01
2018-01-01 19:00:00,1106.48,2018-01-01
2018-01-01 20:00:00,1117.63,2018-01-01
2018-01-01 21:00:00,1190.4,2018-01-01
2018-01-01 22:00:00,1214.36,2018-01-01
2018-01-01 23:00:00,1222.72,2018-01-01
2018-01-02 00:00:00,1077.68,2018-01-01
2018-01-02 00:00:00,1077.68,2018-01-02
2018-01-02 01:00:00,799.22,2018-01-02
2018-01-02 02:00:00,586.62,2018-01-02
2018-01-02 03:00:00,439.24,2018-01-02
2018-01-02 04:00:00,425.22,2018-01-02
2018-01-02 05:00:00,445.64,2018-01-02
2018-01-02 06:00:00,464.01,2018-01-02
2018-01-02 07:00:00,437.59,2018-01-02
2018-01-02 08:00:00,826.6,2018-01-02
2018-01-02 09:00:00,841.9,2018-01-02
2018-01-02 10:00:00,743.76,2018-01-02
2018-01-02 11:00:00,762.74,2018-01-02
2018-01-02 12:00:00,793.95,2018-01-02
2018-01-02 13:00:00,807.38,2018-01-02
2018-01-02 14:00:00,727.33,2018-01-02
2018-01-02 15:00:00,666.75,2018-01-02
2018-01-02 16:00:00,887.36,2018-01-02
2018-01-02 17:00:00,883.71,2018-01-02
2018-01-02 18:00:00,991.66,2018-01-02
2018-01-02 19:00:00,1023.16,2018-01-02
2018-01-02 20:00:00,1111.19,2018-01-02
2018-01-02 21:00:00,1156.97,2018-01-02
2018-01-02 22:00:00,1216.76,2018-01-02
2018-01-02 23:00:00,1283.16,2018-01-02
2018-01-03 00:00:00,1046.62,2018-01-02
2018-01-03 00:00:00,1046.62,2018-01-03
2018-01-03 01:00:00,795.52,2018-01-03
2018-01-03 02:00:00,543.24,2018-01-03
2018-01-03 03:00:00,455.43,2018-01-03
2018-01-03 04:00:00,436.98,2018-01-03
2018-01-03 05:00:00,434.15,2018-01-03
2018-01-03 06:00:00,450.82,2018-01-03
2018-01-03 07:00:00,495.98,2018-01-03
2018-01-03 08:00:00,794.02,2018-01-03
2018-01-03 09:00:00,902.13,2018-01-03
2018-01-03 10:00:00,817.21,2018-01-03
2018-01-03 11:00:00,798.5,2018-01-03
2018-01-03 12:00:00,835.41,2018-01-03
2018-01-03 13:00:00,866.74,2018-01-03
2018-01-03 14:00:00,819.4,2018-01-03
2018-01-03 15:00:00,836.24,2018-01-03
2018-01-03 16:00:00,965.83,2018-01-03
2018-01-03 17:00:00,910.99,2018-01-03
2018-01-03 18:00:00,1026.54,2018-01-03
2018-01-03 19:00:00,1111.92,2018-01-03
2018-01-03 20:00:00,1299.45,2018-01-03
2018-01-03 21:00:00,1322.6,2018-01-03
2018-01-03 22:00:00,1344.36,2018-01-03
