date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2018-01-01,840.76,712.29,585.82,520.49,422.83,440.22,457.37,464.7,539.04,656.43,680.15,710.31,761.7,743.72,757.79,785.94,868.97,871.56,1017.69,1106.48,1117.63,1190.4,1214.36,1222.72
2018-01-02,1077.68,799.22,586.62,439.24,425.22,445.64,464.01,437.59,826.6,841.9,743.76,762.74,793.95,807.38,727.33,666.75,887.36,883.71,991.66,1023.16,1111.19,1156.97,1216.76,1283.16
2018-01-03,1046.62,795.52,543.24,455.43,436.98,434.15,450.82,495.98,794.02,902.13,817.21,798.5,835.41,866.74,819.4,836.24,965.83,910.99,1026.54,1111.92,1299.45,1322.6,1344.36,1395.33
2018-01-04,1135.85,833.76,600.71,486.98,468.55,457.12,485.96,528.81,884.42,991.71,895.58,846.78,863.42,848.63,841.88,858.92,978.1,1066.8,1139.59,1190.79,1358.59,1391.72,1482.02,1432.91
2018-01-05,1256.29,882.33,690.72,560.69,477.88,502.62,568.03,582.46,949.76,1044.7,943.92,826.91,857.57,866.73,,754.89,967.34,941.95,1194.37,1249.04,1329.17,1400.76,1379.05,1430.73
2018-01-06,1275.1,1031.42,786.08,601.91,548.15,520.03,589.81,556.75,656.8,953.91,953.39,975.04,1075.58,1132.43,1032.41,979.32,1118.86,1149.54,1203.94,1333.46,1293.34,1303.86,1330.82,1342.59
2018-01-07,1251.52,943.09,726.66,578.27,521.39,487.78,523.68,544.21,697.39,809.43,813.4,838.65,941.83,1072.85,1019.48,1006.43,1124.22,1149.19,1224.23,1282.13,1303.46,1350.95,1379.93,1483.33
2018-01-08,1302.43,979.21,708.38,536.02,505.2,490.41,530.58,542.7,888.16,1010.11,993.05,921.15,955.81,942.82,840.53,844.42,1014.83,993.3,1165.06,1263.42,1307.74,1474.59,1518.91,1525.14
2018-01-09,1344.66,992.6,750.52,593.46,561.41,535.42,615.39,632.37,962.96,976.08,902.98,882.13,937.4,914.42,835.1,823.86,932.08,979.54,1085.77,1178.24,1390.89,1386.66,1415.5,1483.51
2018-01-10,1291.49,939.03,649.05,522.47,521.25,517.74,530.23,593.08,939.91,1038.6,923.07,864.95,946.35,908.96,783.52,786.4,921.86,920.76,1079.4,1156.33,1317.28,1355.88,1402.51,1478.51
2018-01-11,1336.18,1023.22,712.49,583.73,550.05,536.69,634.06,644.19,969.15,946.92,873.28,767.96,748.59,684.59,609.95,634.71,795.03,871.45,1085.5,1227.48,1357.63,1465.35,1487.5,1512.56
2018-01-12,1306.5,1031.34,720.24,608.83,568.55,551.79,624.59,608.35,937.4,1048.27,1061.75,917.94,1026.67,928.16,801.58,760.19,901.45,908.81,1101.69,1230.59,1375.78,1402.96,1484.91,1473.03
2018-01-13,1337.97,1021.82,756.26,577.78,545.08,562.86,579.47,615.49,799.85,1046.41,959.89,1003.54,1037.25,1044.76,934.42,972.24,1118.21,1082.21,1194.61,1215.04,1275.12,1402.09,1473.39,1462.98
2018-01-14,,,526.65,420.02,434.88,409.83,442.27,440.84,638.55,843.46,765.13,747.76,788.01,718.82,727.13,742.86,825.41,823.65,879.79,924.83,967.51,990.21,1023.07,1033.39
2018-01-15,959.79,753.7,561.96,472.16,474.05,457.53,518.23,466.39,687.87,863.31,854.0,704.1,749.88,719.09,590.43,601.01,709.4,638.6,727.28,768.62,816.94,811.73,848.62,880.59
2018-01-16,826.89,629.7,492.23,408.76,383.05,376.51,467.42,476.65,,863.58,779.24,686.92,751.16,726.89,686.35,668.32,710.55,693.66,781.8,852.03,921.16,1006.15,1029.16,986.77
2018-01-17,885.56,669.29,493.73,430.84,427.42,421.81,485.54,466.68,640.59,838.0,785.4,682.02,735.34,712.66,590.56,625.86,745.76,635.85,761.71,785.2,894.6,956.08,1011.0,1028.35
2018-01-18,936.65,,,,,,,,,,,,,,,,,,,,,,,
2018-01-19,784.75,604.52,465.65,402.22,431.11,388.71,445.11,457.03,643.46,807.3,798.26,652.92,722.69,706.57,641.42,588.39,654.21,637.29,715.51,792.66,836.55,934.71,920.19,892.84
