time,power (kw),SourceFileDate
2019-01-01 00:00:00,1181.15,2019-01-01
2019-01-01 01:00:00,993.73,2019-01-01
2019-01-01 02:00:00,888.04,2019-01-01
2019-01-01 03:00:00,743.36,2019-01-01
2019-01-01 04:00:00,729.94,2019-01-01
2019-01-01 05:00:00,660.96,2019-01-01
2019-01-01 06:00:00,674.95,2019-01-01
2019-01-01 07:00:00,645.38,2019-01-01
2019-01-01 08:00:00,745.03,2019-01-01
2019-01-01 09:00:00,868.46,2019-01-01
2019-01-01 10:00:00,940.68,2019-01-01
2019-01-01 11:00:00,899.42,2019-01-01
2019-01-01 12:00:00,1010.78,2019-01-01
2019-01-01 13:00:00,1096.71,2019-01-01
2019-01-01 14:00:00,994.81,2019-01-01
2019-01-01 15:00:00,1088.81,2019-01-01
2019-01-01 16:00:00,1173.09,2019-01-01
2019-01-01 17:00:00,1163.0,2019-01-01
2019-01-01 18:00:00,1357.27,2019-01-01
2019-01-01 19:00:00,1525.85,2019-01-01
2019-01-01 20:00:00,1562.14,2019-01-01
2019-01-01 21:00:00,1717.03,2019-01-01
2019-01-01 22:00:00,1794.92,2019-01-01
2019-01-01 23:00:00,1721.85,2019-01-01
2019-01-02 00:00:00,1584.9,2019-01-01
2019-01-02 00:00:00,1584.9,2019-01-02
2019-01-02 01:00:00,1181.05,2019-01-02
2019-01-02 02:00:00,866.16,2019-01-02
2019-01-02 03:00:00,708.66,2019-01-02
2019-01-02 04:00:00,604.58,2019-01-02
2019-01-02 05:00:00,612.92,2019-01-02
2019-01-02 06:00:00,653.67,2019-01-02
2019-01-02 07:00:00,689.38,2019-01-02
2019-01-02 08:00:00,966.37,2019-01-02
2019-01-02 09:00:00,1121.85,2019-01-02
2019-01-02 10:00:00,1005.97,2019-01-02
2019-01-02 11:00:00,993.41,2019-01-02
2019-01-02 12:00:00,1176.14,2019-01-02
2019-01-02 13:00:00,1189.72,2019-01-02
2019-01-02 14:00:00,1191.22,2019-01-02
2019-01-02 15:00:00,1088.37,2019-01-02
2019-01-02 16:00:00,1165.07,2019-01-02
2019-01-02 17:00:00,1184.0,2019-01-02
2019-01-02 18:00:00,1375.1,2019-01-02
2019-01-02 19:00:00,1505.99,2019-01-02
2019-01-02 20:00:00,1637.27,2019-01-02
2019-01-02 21:00:00,1643.84,2019-01-02
2019-01-02 22:00:00,1738.85,2019-01-02
2019-01-02 23:00:00,1875.85,2019-01-02
2019-01-03 00:00:00,1591.98,2019-01-02
2019-01-03 00:00:00,1591.98,2019-01-03
2019-01-03 01:00:00,1216.87,2019-01-03
2019-01-03 02:00:00,889.02,2019-01-03
2019-01-03 03:00:00,754.93,2019-01-03
2019-01-03 04:00:00,640.79,2019-01-03
2019-01-03 05:00:00,677.7,2019-01-03
2019-01-03 06:00:00,633.27,2019-01-03
2019-01-03 07:00:00,691.04,2019-01-03
2019-01-03 08:00:00,944.32,2019-01-03
2019-01-03 09:00:00,1163.75,2019-01-03
2019-01-03 10:00:00,1090.96,2019-01-03
2019-01-03 11:00:00,1080.99,2019-01-03
2019-01-03 12:00:00,1140.44,2019-01-03
2019-01-03 13:00:00,1074.79,2019-01-03
2019-01-03 14:00:00,1038.23,2019-01-03
2019-01-03 15:00:00,1076.04,2019-01-03
2019-01-03 16:00:00,1083.09,2019-01-03
2019-01-03 17:00:00,1170.69,2019-01-03
2019-01-03 18:00:00,1297.24,2019-01-03
2019-01-03 19:00:00,1441.03,2019-01-03
2019-01-03 20:00:00,1488.95,2019-01-03
2019-01-03 21:00:00,1551.48,2019-01-03
2019-01-03 22:00:00,1667.35,2019-01-03
2019-01-03 23:00:00,1712.97,2019-01-03
2019-01-04 00:00:00,1491.63,2019-01-03
2019-01-04 00:00:00,1491.63,2019-01-04
2019-01-04 01:00:00,1179.93,2019-01-04
2019-01-04 02:00:00,891.86,2019-01-04
2019-01-04 03:00:00,720.73,2019-01-04
2019-01-04 04:00:00,596.27,2019-01-04
2019-01-04 05:00:00,636.9,2019-01-04
2019-01-04 06:00:00,624.49,2019-01-04
2019-01-04 07:00:00,632.61,2019-01-04
2019-01-04 08:00:00,828.64,2019-01-04
2019-01-04 09:00:00,1074.47,2019-01-04
2019-01-04 10:00:00,1112.4,2019-01-04
2019-01-04 11:00:00,1013.08,2019-01-04
2019-01-04 12:00:00,1109.17,2019-01-04
2019-01-04 13:00:00,1087.19,2019-01-04
2019-01-04 14:00:00,1029.7,2019-01-04
2019-01-04 15:00:00,1083.84,2019-01-04
2019-01-04 16:00:00,1080.57,2019-01-04
2019-01-04 17:00:00,1030.6,2019-01-04
2019-01-04 18:00:00,1180.93,2019-01-04
2019-01-04 19:00:00,1336.84,2019-01-04
2019-01-04 20:00:00,1372.69,2019-01-04
2019-01-04 21:00:00,1496.18,2019-01-04
2019-01-04 22:00:00,1525.38,2019-01-04
2019-01-04 23:00:00,1617.09,2019-01-04
2019-01-05 00:00:00,1450.5,2019-01-04
2019-01-05 00:00:00,1450.5,2019-01-05
2019-01-05 01:00:00,1134.17,2019-01-05
2019-01-05 02:00:00,869.96,2019-01-05
2019-01-05 03:00:00,684.74,2019-01-05
2019-01-05 04:00:00,589.85,2019-01-05
2019-01-05 05:00:00,617.21,2019-01-05
2019-01-05 06:00:00,555.71,2019-01-05
2019-01-05 07:00:00,588.79,2019-01-05
2019-01-05 08:00:00,765.15,2019-01-05
2019-01-05 09:00:00,917.83,2019-01-05
2019-01-05 10:00:00,886.52,2019-01-05
2019-01-05 11:00:00,905.13,2019-01-05
2019-01-05 12:00:00,1156.14,2019-01-05
2019-01-05 13:00:00,1048.33,2019-01-05
2019-01-05 14:00:00,1018.21,2019-01-05
2019-01-05 15:00:00,1063.31,2019-01-05
2019-01-05 16:00:00,1114.49,2019-01-05
2019-01-05 17:00:00,1122.55,2019-01-05
2019-01-05 18:00:00,1166.01,2019-01-05
2019-01-05 19:00:00,1286.5,2019-01-05
2019-01-05 20:00:00,1380.18,2019-01-05
2019-01-05 21:00:00,1419.2,2019-01-05
2019-01-05 22:00:00,1491.27,2019-01-05
2019-01-05 23:00:00,1621.7,2019-01-05
2019-01-06 00:00:00,1483.32,2019-01-05
2019-01-06 00:00:00,1483.32,2019-01-06
2019-01-06 01:00:00,1126.04,2019-01-06
2019-01-06 02:00:00,852.31,2019-01-06
2019-01-06 03:00:00,692.11,2019-01-06
2019-01-06 04:00:00,567.6,2019-01-06
2019-01-06 05:00:00,620.88,2019-01-06
2019-01-06 06:00:00,619.71,2019-01-06
2019-01-06 07:00:00,635.59,2019-01-06
2019-01-06 08:00:00,840.46,2019-01-06
2019-01-06 09:00:00,870.77,2019-01-06
2019-01-06 10:00:00,866.35,2019-01-06
2019-01-06 11:00:00,839.04,2019-01-06
2019-01-06 12:00:00,1054.49,2019-01-06
2019-01-06 13:00:00,1050.88,2019-01-06
2019-01-06 14:00:00,937.62,2019-01-06
2019-01-06 15:00:00,986.72,2019-01-06
2019-01-06 16:00:00,1128.19,2019-01-06
2019-01-06 17:00:00,1059.19,2019-01-06
2019-01-06 18:00:00,1220.63,2019-01-06
2019-01-06 19:00:00,1351.28,2019-01-06
2019-01-06 20:00:00,1305.6,2019-01-06
2019-01-06 21:00:00,1339.01,2019-01-06
2019-01-06 22:00:00,1428.24,2019-01-06
2019-01-06 23:00:00,1432.08,2019-01-06
2019-01-07 00:00:00,1374.95,2019-01-06
2019-01-07 00:00:00,1374.95,2019-01-07
2019-01-07 01:00:00,1089.92,2019-01-07
2019-01-07 02:00:00,817.84,2019-01-07
2019-01-07 03:00:00,655.46,2019-01-07
2019-01-07 04:00:00,538.96,2019-01-07
2019-01-07 05:00:00,594.62,2019-01-07
2019-01-07 06:00:00,607.51,2019-01-07
2019-01-07 07:00:00,605.57,2019-01-07
2019-01-07 08:00:00,812.32,2019-01-07
2019-01-07 09:00:00,1028.86,2019-01-07
2019-01-07 10:00:00,990.03,2019-01-07
2019-01-07 11:00:00,954.1,2019-01-07
2019-01-07 12:00:00,1070.32,2019-01-07
2019-01-07 13:00:00,1073.14,2019-01-07
2019-01-07 14:00:00,874.6,2019-01-07
2019-01-07 15:00:00,906.92,2019-01-07
2019-01-07 16:00:00,944.59,2019-01-07
2019-01-07 17:00:00,951.85,2019-01-07
2019-01-07 18:00:00,1096.66,2019-01-07
2019-01-07 19:00:00,1233.51,2019-01-07
2019-01-07 20:00:00,1248.58,2019-01-07
2019-01-07 21:00:00,1343.48,2019-01-07
2019-01-07 22:00:00,1375.16,2019-01-07
2019-01-07 23:00:00,1467.08,2019-01-07
2019-01-08 00:00:00,1312.67,2019-01-07
2019-01-08 00:00:00,1312.67,2019-01-08
2019-01-08 01:00:00,977.6,2019-01-08
2019-01-08 02:00:00,741.54,2019-01-08
2019-01-08 03:00:00,611.83,2019-01-08
2019-01-08 04:00:00,555.42,2019-01-08
2019-01-08 05:00:00,583.36,2019-01-08
2019-01-08 06:00:00,589.66,2019-01-08
2019-01-08 07:00:00,595.53,2019-01-08
2019-01-08 08:00:00,727.45,2019-01-08
2019-01-08 09:00:00,954.86,2019-01-08
2019-01-08 10:00:00,1044.45,2019-01-08
2019-01-08 11:00:00,972.92,2019-01-08
2019-01-08 12:00:00,1077.67,2019-01-08
2019-01-08 13:00:00,991.13,2019-01-08
2019-01-08 14:00:00,887.09,2019-01-08
2019-01-08 15:00:00,988.61,2019-01-08
2019-01-08 16:00:00,944.82,2019-01-08
2019-01-08 17:00:00,985.74,2019-01-08
2019-01-08 18:00:00,1167.44,2019-01-08
2019-01-08 19:00:00,1232.94,2019-01-08
2019-01-08 20:00:00,1275.08,2019-01-08
2019-01-08 21:00:00,1317.73,2019-01-08
2019-01-08 22:00:00,1390.89,2019-01-08
2019-01-08 23:00:00,1460.79,2019-01-08
2019-01-09 00:00:00,1345.96,2019-01-08
2019-01-09 00:00:00,1345.96,2019-01-09
2019-01-09 01:00:00,999.55,2019-01-09
2019-01-09 02:00:00,779.6,2019-01-09
2019-01-09 03:00:00,587.25,2019-01-09
