date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-01-01,1181.15,993.73,888.04,743.36,729.94,660.96,674.95,645.38,745.03,868.46,940.68,899.42,1010.78,1096.71,994.81,1088.81,1173.09,1163.0,1357.27,1525.85,1562.14,1717.03,1794.92,1721.85
2019-01-02,1584.9,1181.05,866.16,708.66,604.58,612.92,653.67,689.38,966.37,1121.85,1005.97,993.41,1176.14,1189.72,1191.22,1088.37,1165.07,1184.0,1375.1,1505.99,1637.27,1643.84,1738.85,1875.85
2019-01-03,1591.98,1216.87,889.02,754.93,640.79,677.7,633.27,691.04,944.32,1163.75,1090.96,1080.99,1140.44,1074.79,1038.23,1076.04,1083.09,1170.69,1297.24,1441.03,1488.95,1551.48,1667.35,1712.97
2019-01-04,1491.63,1179.93,891.86,720.73,596.27,636.9,624.49,632.61,828.64,1074.47,1112.4,1013.08,1109.17,1087.19,1029.7,1083.84,1080.57,1030.6,1180.93,1336.84,1372.69,1496.18,1525.38,1617.09
2019-01-05,1450.5,1134.17,869.96,684.74,589.85,617.21,555.71,588.79,765.15,917.83,886.52,905.13,1156.14,1048.33,1018.21,1063.31,1114.49,1122.55,1166.01,1286.5,1380.18,1419.2,1491.27,1621.7
2019-01-06,1483.32,1126.04,852.31,692.11,567.6,620.88,619.71,635.59,840.46,870.77,866.35,839.04,1054.49,1050.88,937.62,986.72,1128.19,1059.19,1220.63,1351.28,1305.6,1339.01,1428.24,1432.08
2019-01-07,1374.95,1089.92,817.84,655.46,538.96,594.62,607.51,605.57,812.32,1028.86,990.03,954.1,1070.32,1073.14,874.6,906.92,944.59,951.85,1096.66,1233.51,1248.58,1343.48,1375.16,1467.08
2019-01-08,1312.67,977.6,741.54,611.83,555.42,583.36,589.66,595.53,727.45,954.86,1044.45,972.92,1077.67,991.13,887.09,988.61,944.82,985.74,1167.44,1232.94,1275.08,1317.73,1390.89,1460.79
2019-01-09,1345.96,999.55,779.6,587.25,510.07,562.91,602.96,608.56,840.16,1155.18,999.19,932.35,1073.72,1034.97,926.69,979.1,917.88,992.95,1127.14,1292.42,1302.06,1395.56,1418.17,1455.16
2019-01-10,1334.51,1042.05,790.32,637.56,604.19,628.55,667.45,666.38,803.89,1031.61,988.77,948.67,1015.55,995.84,910.76,963.53,976.55,961.58,1099.23,1122.57,1133.04,1225.18,1302.31,1392.36
