,total_load,peak_load,valley_load,load_range,load_std,time_of_peak,time_of_valley,day_of_week,is_weekend
1970-01-01 00:00:00.000000000,5995.08,349.68,182.64,167.04000000000002,65.89047493345697,08:00:00,01:00:00,3,False
1970-01-01 00:00:00.000000001,5033.5199999999995,253.32,173.64,79.68,28.79452665381724,09:00:00,04:00:00,3,False
1970-01-01 00:00:00.000000002,5133.120000000001,264.72,166.08,98.64000000000001,33.80180391378671,14:00:00,23:00:00,3,False
1970-01-01 00:00:00.000000003,11778.119999999999,960.36,166.2,794.1600000000001,313.9204463748322,09:00:00,05:00:00,3,False
1970-01-01 00:00:00.000000004,11624.880000000001,930.72,171.48,759.24,306.0446288001005,11:00:00,01:00:00,3,False
1970-01-01 00:00:00.000000005,11716.679999999997,900.0,179.28,720.72,302.3157014576419,09:00:00,02:00:00,3,False
1970-01-01 00:00:00.000000006,11684.16,943.32,175.92,767.4000000000001,299.7161899269838,09:00:00,05:00:00,3,False
1970-01-01 00:00:00.000000007,11480.16,885.84,176.28,709.5600000000001,290.08243577960053,09:00:00,23:00:00,3,False
1970-01-01 00:00:00.000000008,6069.96,373.8,169.92,203.88000000000002,74.88595137302777,09:00:00,22:00:00,3,False
1970-01-01 00:00:00.000000009,4809.12,290.04,57.0,233.04000000000002,67.59601326036656,15:00:00,21:00:00,3,False
1970-01-01 00:00:00.000000010,17065.079999999998,904.68,170.16,734.52,282.43323423421685,12:00:00,23:00:00,3,False
1970-01-01 00:00:00.000000011,11883.84,964.68,163.44,801.24,323.2268992250005,09:00:00,03:00:00,3,False
1970-01-01 00:00:00.000000012,11976.0,923.04,163.8,759.24,315.62374848654156,11:00:00,02:00:00,3,False
1970-01-01 00:00:00.000000013,11531.64,942.96,165.84,777.12,287.63206166151264,11:00:00,04:00:00,3,False
1970-01-01 00:00:00.000000014,11661.719999999998,919.92,166.8,753.1199999999999,294.44457951997634,11:00:00,23:00:00,3,False
1970-01-01 00:00:00.000000015,6099.3600000000015,351.12,168.6,182.52,68.99727026736512,10:00:00,01:00:00,3,False
1970-01-01 00:00:00.000000016,5739.719999999999,294.24,172.92,121.32000000000002,40.842583595833034,13:00:00,01:00:00,3,False
1970-01-01 00:00:00.000000017,16473.000000000004,975.0,192.0,783.0,234.24625698833157,11:00:00,23:00:00,3,False
1970-01-01 00:00:00.000000018,12141.240000000002,986.88,170.52,816.36,312.0634259527882,09:00:00,23:00:00,3,False
1970-01-01 00:00:00.000000019,12055.560000000001,946.2,168.0,778.2,338.98003107788696,14:00:00,03:00:00,3,False
1970-01-01 00:00:00.000000020,12222.840000000004,985.8,162.6,823.1999999999999,341.66588984994763,09:00:00,03:00:00,3,False
1970-01-01 00:00:00.000000021,12603.719999999998,975.12,163.08,812.04,339.2740063468003,10:00:00,22:00:00,3,False
1970-01-01 00:00:00.000000022,6511.8,429.6,157.68,271.92,106.22362584169551,15:00:00,02:00:00,3,False
1970-01-01 00:00:00.000000023,5089.200000000001,257.16,162.24,94.92000000000002,33.35098877355682,14:00:00,22:00:00,3,False
1970-01-01 00:00:00.000000024,12764.04,1006.8,162.96,843.8399999999999,349.49420592323565,11:00:00,05:00:00,3,False
1970-01-01 00:00:00.000000025,11423.52,931.08,162.0,769.08,309.99014649136694,09:00:00,02:00:00,3,False
1970-01-01 00:00:00.000000026,12407.64,963.36,165.72,797.64,327.6130202461169,09:00:00,02:00:00,3,False
1970-01-01 00:00:00.000000027,11901.960000000001,911.76,168.0,743.76,313.4118280418302,11:00:00,04:00:00,3,False
1970-01-01 00:00:00.000000028,12206.279999999999,963.24,175.2,788.04,333.4984508796562,11:00:00,23:00:00,3,False
1970-01-01 00:00:00.000000029,6124.08,392.88,168.84,224.04,81.89506180366486,14:00:00,22:00:00,3,False
1970-01-01 00:00:00.000000030,4865.4,250.92,147.96,102.95999999999998,33.103016675878315,10:00:00,23:00:00,3,False
1970-01-01 00:00:00.000000031,12267.96,970.2,150.84,819.36,335.3890535275219,09:00:00,04:00:00,3,False
1970-01-01 00:00:00.000000032,11925.359999999999,942.96,160.08,782.88,329.766319001541,11:00:00,01:00:00,3,False
1970-01-01 00:00:00.000000033,11031.839999999998,901.32,153.84,747.48,296.7991805918608,11:00:00,02:00:00,3,False
1970-01-01 00:00:00.000000034,11061.000000000002,892.08,156.12,735.96,288.8658458749381,11:00:00,01:00:00,3,False
1970-01-01 00:00:00.000000035,10484.159999999998,850.2,147.48,702.72,269.71867237194937,09:00:00,22:00:00,3,False
1970-01-01 00:00:00.000000036,8785.080000000002,743.16,146.16,597.0,225.97804350827116,09:00:00,02:00:00,3,False
1970-01-01 00:00:00.000000037,4051.7999999999997,201.84,136.56,65.28,15.905647069379233,06:00:00,22:00:00,3,False
1970-01-01 00:00:00.000000038,4583.879999999999,279.84,133.68,146.15999999999997,49.925528278757774,10:00:00,22:00:00,3,False
1970-01-01 00:00:00.000000039,4548.0,261.96,131.16,130.79999999999998,50.83783322444537,09:00:00,01:00:00,3,False
1970-01-01 00:00:00.000000040,4562.5199999999995,269.52,132.12,137.39999999999998,50.167613058625776,08:00:00,22:00:00,3,False
1970-01-01 00:00:00.000000041,4410.24,245.04,133.2,111.84,44.42534176913383,11:00:00,04:00:00,3,False
1970-01-01 00:00:00.000000042,4604.519999999999,266.88,133.32,133.56,47.08900702508703,11:00:00,02:00:00,3,False
1970-01-01 00:00:00.000000043,7612.32,548.16,138.84,409.31999999999994,176.37375019123942,12:00:00,22:00:00,3,False
1970-01-01 00:00:00.000000044,10064.039999999997,853.92,139.56,714.3599999999999,286.65840778969266,09:00:00,05:00:00,3,False
1970-01-01 00:00:00.000000045,10888.44,930.48,141.48,789.0,311.9045582699381,11:00:00,03:00:00,3,False
1970-01-01 00:00:00.000000046,11040.480000000001,923.76,143.52,780.24,310.7423777371525,09:00:00,03:00:00,3,False
1970-01-01 00:00:00.000000047,10983.72,917.28,137.64,779.64,314.7876063661642,09:00:00,22:00:00,3,False
1970-01-01 00:00:00.000000048,10484.4,863.04,136.92,726.12,296.44272443351554,11:00:00,04:00:00,3,False
1970-01-01 00:00:00.000000049,10998.960000000001,931.32,142.44,788.8800000000001,317.9904666331449,11:00:00,23:00:00,3,False
1970-01-01 00:00:00.000000050,5060.52,306.24,138.84,167.4,57.293721713867455,10:00:00,04:00:00,3,False
1970-01-01 00:00:00.000000051,4637.639999999999,239.88,147.12,92.75999999999999,32.79207181489213,14:00:00,22:00:00,3,False
1970-01-01 00:00:00.000000052,11734.32,982.08,145.32,836.76,348.82360156488215,10:00:00,03:00:00,3,False
1970-01-01 00:00:00.000000053,11422.32,955.2,144.72,810.48,324.74247279156856,10:00:00,03:00:00,3,False
1970-01-01 00:00:00.000000054,11067.6,931.08,146.04,785.0400000000001,314.5674096278889,10:00:00,02:00:00,3,False
1970-01-01 00:00:00.000000055,11032.200000000003,909.84,140.64,769.2,309.94641047319357,09:00:00,05:00:00,3,False
1970-01-01 00:00:00.000000056,10971.12,906.12,148.08,758.04,287.60564068968074,09:00:00,05:00:00,3,False
1970-01-01 00:00:00.000000057,4815.96,278.04,138.36,139.68,44.16592558306343,10:00:00,05:00:00,3,False
1970-01-01 00:00:00.000000058,4669.080000000001,242.28,149.64,92.64000000000001,31.621546451747104,14:00:00,23:00:00,3,False
1970-01-01 00:00:00.000000059,10675.56,853.08,141.72,711.36,296.59590212361627,12:00:00,04:00:00,3,False
1970-01-01 00:00:00.000000060,10834.079999999998,897.48,150.96,746.52,291.91248885209774,11:00:00,02:00:00,3,False
1970-01-01 00:00:00.000000061,10827.720000000001,921.36,148.2,773.1600000000001,300.40883963431367,10:00:00,02:00:00,3,False
1970-01-01 00:00:00.000000062,10408.079999999998,826.32,141.0,685.32,275.31468850090044,11:00:00,02:00:00,3,False
1970-01-01 00:00:00.000000063,10415.880000000001,796.32,144.12,652.2,265.0861628094599,12:00:00,23:00:00,3,False
1970-01-01 00:00:00.000000064,4881.240000000001,275.88,133.56,142.32,47.10832632025523,09:00:00,03:00:00,3,False
1970-01-01 00:00:00.000000065,4615.56,261.6,150.0,111.60000000000002,30.22649413719836,11:00:00,04:00:00,3,False
1970-01-01 00:00:00.000000066,10921.2,849.84,143.04,706.8000000000001,294.4152132765826,11:00:00,03:00:00,3,False
1970-01-01 00:00:00.000000067,11920.079999999996,974.4,154.56,819.8399999999999,314.29118445493657,11:00:00,01:00:00,3,False
1970-01-01 00:00:00.000000068,11618.520000000004,957.84,150.36,807.48,316.6985805627092,12:00:00,23:00:00,3,False
1970-01-01 00:00:00.000000069,11717.760000000004,965.28,139.68,825.5999999999999,332.0627509058046,12:00:00,05:00:00,3,False
