,date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,cluster,pattern
0,2016-01-01,202.44,182.64,188.04,185.04,191.04,197.16,239.88,215.04,349.68,348.96,324.36,334.32,320.16,330.36,332.64,310.8,324.96,229.08,220.68,202.68,200.76,194.16,183.0,187.2,0,low_base_low_peak
1,2016-01-02,180.84,179.64,182.52,179.4,173.64,176.64,227.76,182.52,218.76,253.32,230.76,251.52,240.24,234.6,249.6,249.96,228.12,237.6,208.08,195.48,190.32,191.76,190.56,179.88,0,low_base_low_peak
2,2016-01-03,186.48,183.84,178.32,181.8,174.24,171.72,251.88,185.16,234.36,240.24,245.88,247.08,251.28,244.32,264.72,242.28,256.56,240.96,229.08,193.2,197.88,189.24,176.52,166.08,0,low_base_low_peak
3,2016-01-04,178.68,180.36,172.56,176.04,173.28,166.2,230.52,573.12,766.68,960.36,919.68,909.6,883.2,783.12,813.48,799.56,767.28,742.32,438.96,297.6,263.76,222.36,177.72,181.68,1,low_base_high_peak
4,2016-01-05,192.84,171.48,177.12,180.36,173.16,175.44,228.48,583.8,746.76,908.52,865.08,930.72,870.0,837.6,783.0,754.68,801.36,702.6,389.88,299.52,251.64,222.6,189.24,189.0,1,low_base_high_peak
5,2016-01-06,190.2,180.72,179.28,179.64,182.52,180.0,232.2,606.84,813.36,900.0,832.92,892.32,870.6,798.12,826.2,788.64,766.44,707.88,398.88,298.32,268.68,240.96,198.24,183.72,1,low_base_high_peak
6,2016-01-07,203.64,186.12,184.08,185.04,184.68,175.92,233.28,596.28,775.32,943.32,827.28,830.16,846.96,843.24,823.68,792.96,765.6,712.08,382.8,314.16,254.76,247.2,187.92,187.68,1,low_base_high_peak
7,2016-01-08,193.8,190.32,181.68,182.4,188.76,182.88,232.44,594.12,782.88,885.84,834.36,836.52,863.4,759.0,748.32,781.2,792.24,672.96,380.4,311.76,277.32,246.84,184.44,176.28,1,low_base_high_peak
8,2016-01-09,189.48,178.68,177.24,181.32,185.16,184.44,222.6,198.24,305.64,373.8,357.12,346.32,372.84,341.64,347.76,336.84,279.72,273.36,245.4,215.52,210.12,204.24,169.92,172.56,0,low_base_low_peak
9,2016-01-10,174.0,163.8,162.96,171.48,166.32,173.04,221.76,186.24,231.24,250.68,213.0,262.32,258.0,255.84,263.28,290.04,276.24,261.12,228.0,222.0,206.76,57.0,57.0,57.0,0,low_base_low_peak
