time,power (kw),SourceFileDate
2018-01-01 00:00:00,261.12,2018-01-01
2018-01-01 01:00:00,259.92,2018-01-01
2018-01-01 02:00:00,253.2,2018-01-01
2018-01-01 03:00:00,250.08,2018-01-01
2018-01-01 04:00:00,259.68,2018-01-01
2018-01-01 05:00:00,264.0,2018-01-01
2018-01-01 06:00:00,279.12,2018-01-01
2018-01-01 07:00:00,282.84,2018-01-01
2018-01-01 08:00:00,388.16,2018-01-01
2018-01-01 09:00:00,399.6,2018-01-01
2018-01-01 10:00:00,409.68,2018-01-01
2018-01-01 11:00:00,415.32,2018-01-01
2018-01-01 12:00:00,393.0,2018-01-01
2018-01-01 13:00:00,413.4,2018-01-01
2018-01-01 14:00:00,421.32,2018-01-01
2018-01-01 15:00:00,393.0,2018-01-01
2018-01-01 16:00:00,421.68,2018-01-01
2018-01-01 17:00:00,379.32,2018-01-01
2018-01-01 18:00:00,343.08,2018-01-01
2018-01-01 19:00:00,301.08,2018-01-01
2018-01-01 20:00:00,314.4,2018-01-01
2018-01-01 21:00:00,272.4,2018-01-01
2018-01-01 22:00:00,243.84,2018-01-01
2018-01-01 23:00:00,239.64,2018-01-01
2018-01-02 00:00:00,235.56,2018-01-01
2018-01-02 00:00:00,235.56,2018-01-02
2018-01-02 01:00:00,252.36,2018-01-02
2018-01-02 02:00:00,228.24,2018-01-02
2018-01-02 03:00:00,231.24,2018-01-02
2018-01-02 04:00:00,238.44,2018-01-02
2018-01-02 05:00:00,236.88,2018-01-02
2018-01-02 06:00:00,282.36,2018-01-02
2018-01-02 07:00:00,806.4,2018-01-02
2018-01-02 08:00:00,1017.68,2018-01-02
2018-01-02 09:00:00,1255.2,2018-01-02
2018-01-02 10:00:00,1180.8,2018-01-02
2018-01-02 11:00:00,1278.1,2018-01-02
2018-01-02 12:00:00,1232.04,2018-01-02
2018-01-02 13:00:00,1165.32,2018-01-02
2018-01-02 14:00:00,1137.24,2018-01-02
2018-01-02 15:00:00,1104.36,2018-01-02
2018-01-02 16:00:00,1099.8,2018-01-02
2018-01-02 17:00:00,1030.92,2018-01-02
2018-01-02 18:00:00,538.56,2018-01-02
2018-01-02 19:00:00,375.0,2018-01-02
2018-01-02 20:00:00,356.76,2018-01-02
2018-01-02 21:00:00,321.96,2018-01-02
2018-01-02 22:00:00,256.92,2018-01-02
2018-01-02 23:00:00,219.36,2018-01-02
2018-01-03 00:00:00,210.84,2018-01-02
2018-01-03 00:00:00,210.84,2018-01-03
2018-01-03 01:00:00,222.12,2018-01-03
2018-01-03 02:00:00,218.28,2018-01-03
2018-01-03 03:00:00,213.36,2018-01-03
