date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2018-01-01,261.12,259.92,253.2,250.08,259.68,264.0,279.12,282.84,388.16,399.6,409.68,415.32,393.0,413.4,421.32,393.0,421.68,379.32,343.08,301.08,314.4,272.4,243.84,239.64
2018-01-02,235.56,252.36,228.24,231.24,238.44,236.88,282.36,806.4,1017.68,1255.2,1180.8,1278.1,1232.04,1165.32,1137.24,1104.36,1099.8,1030.92,538.56,375.0,356.76,321.96,256.92,219.36
2018-01-03,210.84,222.12,218.28,213.36,217.68,219.48,372.36,811.68,962.28,1259.76,1248.36,1247.04,1310.64,1244.04,1193.4,1225.44,1154.04,1133.76,545.52,398.28,360.48,274.08,258.24,225.0
2018-01-04,222.48,228.48,215.4,222.72,216.12,224.4,334.92,813.36,1004.28,1217.28,1262.28,1293.48,1295.4,1212.96,1209.66,1138.56,1155.96,1071.96,564.0,447.6,348.36,304.08,259.44,238.56
2018-01-05,241.08,234.72,231.24,226.8,219.96,232.2,303.84,817.2,977.28,1243.92,1308.36,1350.84,1297.44,1184.16,1220.04,1140.24,1160.88,1096.32,539.04,425.28,386.28,327.15,242.16,238.32
2018-01-06,223.32,225.72,242.16,230.52,227.76,237.72,246.48,260.88,313.68,375.0,402.96,398.16,418.08,414.84,398.64,371.16,386.64,401.4,393.6,329.16,316.92,277.08,249.36,249.48
2018-01-07,235.2,246.6,239.76,231.84,237.96,231.48,249.6,246.48,285.48,339.72,311.88,397.2,349.08,328.08,318.28,323.88,348.48,357.48,313.68,304.56,321.36,282.12,249.48,233.28
2018-01-08,243.72,253.88,233.64,240.72,238.68,240.96,412.2,828.6,1050.84,1270.44,1231.56,1320.6,1336.08,1267.92,1249.56,1177.2,1215.0,1145.76,619.56,470.52,414.6,372.72,325.8,308.04
2018-01-09,302.28,266.28,257.52,268.92,265.56,267.96,336.96,873.0,1051.92,1252.68,1375.92,1392.12,1349.16,1188.24,1160.28,1105.92,1054.68,1149.84,571.68,475.2,448.2,352.32,271.56,271.8
2018-01-10,255.6,247.2,246.24,252.36,248.04,250.92,367.92,878.88,1053.96,1283.28,1253.04,1278.12,1267.44,1090.56,1039.32,1132.08,1019.52,1124.76,603.6,468.24,422.16,334.56,277.2,251.4
2018-01-11,249.84,242.16,253.92,250.32,251.52,245.04,472.08,894.12,1077.24,1227.72,1168.32,1181.04,1161.24,1098.36,1138.3,1116.94,1104.84,1206.36,627.96,424.92,451.68,348.84,283.08,261.24
2018-01-12,259.44,252.12,253.2,260.16,240.96,247.92,417.96,884.52,1018.44,1203.12,1235.4,1355.88,1252.68,1171.92,1108.08,1165.68,1080.48,1125.72,551.16,483.6,379.04,295.32,264.36,241.32
2018-01-13,232.08,234.48,231.6,232.2,227.16,234.48,270.96,256.08,431.76,538.56,502.56,569.28,585.48,494.76,496.68,555.84,423.36,465.36,401.88,330.24,314.4,295.32,275.4,265.32
2018-01-14,255.24,245.76,245.04,243.12,247.08,239.52,270.0,262.2,293.88,323.04,339.72,377.76,366.72,395.04,359.14,359.76,323.04,351.24,373.08,331.08,323.76,294.0,254.4,242.16
2018-01-15,266.04,258.48,262.8,262.44,259.56,258.12,308.12,870.12,1026.12,1180.68,1209.96,1266.12,1165.2,1052.88,1052.28,1015.8,996.24,981.72,519.84,457.92,365.16,304.92,258.48,252.12
2018-01-16,242.58,234.6,237.48,246.48,243.24,246.06,385.2,831.6,1037.16,1121.76,1087.92,1306.08,1172.52,1099.56,1167.36,1102.8,984.12,993.6,540.0,391.68,380.64,332.04,252.36,240.48
2018-01-17,249.6,232.8,239.88,236.52,243.96,243.72,333.6,842.25,973.9,1136.4,1097.22,1233.12,1178.4,1107.96,1038.48,1040.28,1002.0,1007.88,507.12,436.92,364.8,288.48,281.04,232.08
2018-01-18,232.32,231.72,230.4,233.52,231.72,228.6,338.28,828.12,985.32,1144.56,1130.16,1171.56,1231.92,1078.92,1060.44,1048.68,989.64,1029.84,553.8,407.52,354.24,318.6,264.24,242.52
2018-01-19,236.88,232.68,226.8,230.88,231.0,225.48,332.28,831.12,948.24,1106.28,1171.32,1223.64,1177.2,1096.44,1073.28,1006.2,989.28,1015.44,494.88,393.0,324.48,288.81,247.44,220.68
2018-01-20,221.64,224.04,224.76,221.28,226.2,217.92,241.92,247.08,402.24,442.8,456.36,464.16,539.76,501.6,472.8,439.92,405.36,384.6,355.68,337.8,331.8,294.12,249.24,252.72
2018-01-21,249.0,242.88,240.12,236.04,237.6,233.28,252.34,246.84,286.92,285.48,307.32,335.88,326.64,357.48,330.24,328.92,309.36,319.08,344.52,326.4,301.2,255.36,230.16,230.52
2018-01-22,249.96,257.4,254.28,250.92,243.36,257.16,563.64,874.56,1040.28,1151.16,1163.64,1265.28,1134.48,1071.36,1199.16,994.92,1005.48,991.32,508.56,393.96,419.52,349.68,259.44,251.4
2018-01-23,236.52,243.6,233.16,233.04,233.04,234.0,409.44,831.96,1004.04,1159.32,1139.16,1313.04,1256.16,1221.36,1201.44,1167.36,1163.52,1135.8,644.52,448.56,429.48,352.92,280.62,255.24
2018-01-24,247.56,239.28,230.76,241.56,239.04,234.85,516.84,896.88,1008.36,1255.56,1231.56,1290.96,1216.56,1110.6,1165.56,1126.08,1137.72,1103.4,596.76,433.08,397.32,346.2,255.84,238.92
2018-01-25,238.42,238.92,231.84,239.88,238.44,241.2,546.6,862.32,967.68,1130.04,1168.8,1329.0,1286.28,1209.96,1251.24,1183.8,1155.72,1103.76,507.72,444.36,385.44,347.76,274.92,248.88
2018-01-26,258.84,267.48,241.8,245.04,248.88,250.56,584.64,886.44,1039.8,1159.68,1174.44,1303.08,1286.76,1220.64,1183.44,1202.28,1112.52,1054.92,582.84,393.24,366.72,326.04,241.92,236.04
