date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,cluster
2019-01-01,204.72,207.0,204.48,208.8,203.04,207.36,231.6,220.08,332.88,300.84,366.12,318.72,342.48,332.88,363.24,348.0,359.16,335.52,379.8,357.84,314.4,347.76,207.72,206.04,0
2019-01-02,203.76,206.4,191.64,199.2,199.2,202.2,812.16,897.84,1088.76,1312.08,1353.0,1396.92,1365.6,1287.0,1301.64,1166.76,1205.64,1208.88,641.04,510.6,423.48,349.08,233.28,228.48,1
2019-01-03,225.36,219.96,224.28,210.84,217.2,213.96,844.56,927.0,1129.68,1317.72,1331.52,1364.88,1330.28,1317.6,1225.32,1183.2,1158.72,1173.72,602.4,485.88,447.84,376.44,257.52,219.0,1
2019-01-04,223.08,220.56,229.44,218.76,219.6,222.6,815.4,912.72,1109.28,1234.32,1250.4,1301.4,1356.12,1160.64,1179.12,1089.48,1073.16,1087.68,653.4,483.96,420.12,344.16,240.24,269.16,1
2019-01-05,209.52,212.76,241.8,212.28,207.96,204.12,236.76,250.2,360.12,399.84,476.04,469.56,482.76,486.24,465.84,512.64,494.52,466.44,543.36,402.6,387.36,385.8,257.4,222.48,0
2019-01-06,216.24,219.36,226.68,215.64,219.0,228.48,237.96,239.4,288.24,328.68,388.08,365.16,363.36,360.48,410.52,361.32,344.76,339.72,415.92,350.52,327.36,331.44,224.76,226.68,0
2019-01-07,219.36,223.68,220.56,223.44,223.08,255.84,825.36,932.04,1120.44,1242.48,1314.72,1404.6,1347.72,1260.12,1288.08,1194.6,1155.96,1129.68,639.6,462.12,430.44,353.52,238.56,234.12,1
2019-01-08,223.56,228.72,217.44,226.8,219.24,216.84,853.8,949.44,1115.52,1306.32,1356.36,1478.04,1377.6,1225.56,1244.28,1225.56,1128.48,1117.92,725.76,595.56,533.88,450.48,237.48,220.44,1
2019-01-09,221.52,209.88,213.6,220.8,211.32,221.28,854.28,946.2,1110.36,1225.08,1279.08,1260.6,1359.72,1212.48,1200.6,1135.2,1143.6,1071.36,579.24,431.28,381.72,291.84,226.88,213.48,1
2019-01-10,214.92,207.72,212.16,202.92,212.88,204.6,839.76,938.76,1115.28,1306.92,1267.92,1270.8,1309.68,1104.6,1227.84,1186.68,1086.72,1091.28,509.88,441.36,403.08,317.52,238.08,213.12,1
2019-01-11,210.84,206.4,201.0,201.48,202.08,195.36,868.32,919.56,1042.56,1042.56,1042.56,1042.56,1042.56,1042.56,1042.56,1042.56,1042.56,1042.56,1042.56,1042.56,1042.56,1042.56,1042.56,1042.56,1
2019-01-14,1164.6,1164.6,1164.6,1164.6,1164.6,1164.6,1164.6,1164.6,1164.6,1164.6,1164.6,1164.6,1164.6,1164.6,1164.6,1164.6,1139.28,1139.64,616.44,480.36,368.52,291.6,232.56,216.36,1
2019-01-15,210.24,205.92,204.32,201.36,202.8,209.76,830.52,927.0,1131.48,1304.52,1292.4,1318.44,1302.24,1065.24,1164.6,1090.68,1035.24,1020.0,606.0,380.64,359.64,331.32,225.96,221.76,1
2019-01-16,213.6,220.44,210.84,215.64,210.72,209.52,234.72,939.36,1128.0,1294.56,1237.68,1238.88,1275.96,1108.2,1129.8,1073.28,1109.52,1053.6,545.64,408.6,347.52,325.68,240.0,230.28,1
2019-01-17,231.12,219.84,212.52,222.6,215.52,217.32,814.2,951.36,1133.76,1345.2,1174.2,1220.04,1123.68,972.24,1027.92,1090.44,1107.0,1160.52,716.76,536.52,489.96,440.76,265.44,257.28,1
2019-01-18,253.56,255.36,257.76,260.76,248.88,256.56,867.84,975.72,1154.88,1233.72,1123.68,1233.12,1142.16,1062.48,1054.68,1049.76,1047.96,1055.28,513.96,372.72,372.48,321.0,269.64,231.96,1
2019-01-19,235.56,207.48,211.32,216.72,210.36,208.44,231.6,276.48,347.16,411.48,435.84,426.0,434.52,425.76,481.08,423.72,417.0,381.12,379.2,336.96,330.96,278.52,234.12,236.76,0
2019-01-20,239.76,237.0,229.32,234.84,230.16,233.88,253.2,241.5,335.88,348.0,422.4,387.96,421.68,382.08,394.08,389.28,388.08,405.96,381.48,371.28,339.24,332.64,249.96,232.68,0
