,date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,cluster,pattern
0,2018-01-01,208.8,212.4,191.6,177.2,178.4,180.8,178.4,162.8,151.6,359.6,423.2,359.6,348.8,387.2,320.0,343.2,308.0,172.0,138.8,182.8,178.0,200.8,189.2,162.8,0,moderate_load
1,2018-01-02,161.6,150.4,144.4,146.4,161.6,162.4,159.2,172.8,253.2,432.8,470.8,421.2,439.2,376.0,372.8,441.2,404.8,386.8,366.0,340.0,346.8,210.8,184.0,137.6,0,moderate_load
2,2018-01-03,146.4,138.4,150.4,183.6,145.6,148.4,159.2,144.4,271.6,477.2,503.6,491.6,493.2,452.4,454.4,492.0,508.4,448.4,440.4,465.2,454.4,360.0,260.4,215.2,2,high_load
3,2018-01-04,168.8,158.0,177.6,203.2,178.4,216.8,194.0,208.0,328.0,520.0,564.0,582.0,551.2,570.4,575.6,546.0,562.8,593.6,503.6,448.4,468.4,314.4,252.0,252.0,2,high_load
4,2018-01-05,187.2,182.0,212.8,200.8,171.6,197.2,220.0,234.8,327.2,551.6,555.6,608.0,588.8,560.4,538.8,517.2,524.0,593.6,458.4,438.8,409.2,340.8,246.4,228.8,2,high_load
5,2018-01-06,232.0,219.2,203.0,193.2,202.0,193.6,217.6,229.2,318.8,477.2,493.2,522.0,501.2,518.4,486.8,438.0,475.6,358.8,324.8,307.6,353.6,284.0,236.4,221.2,2,high_load
6,2018-01-07,213.2,195.6,200.8,178.8,166.8,160.0,162.8,158.0,254.4,474.0,522.0,482.0,432.4,396.0,413.6,426.8,486.0,404.8,436.8,390.4,434.8,292.4,243.2,191.2,2,high_load
7,2018-01-08,209.2,214.4,210.8,212.0,228.4,247.6,258.4,271.2,358.0,581.6,568.0,622.8,624.0,580.0,584.4,537.2,538.4,550.0,518.8,526.8,518.8,366.0,251.2,254.4,2,high_load
8,2018-01-09,190.4,215.6,220.0,212.0,196.4,210.0,265.6,314.0,370.0,664.0,655.6,634.0,622.4,575.2,608.4,555.6,598.0,556.4,506.4,477.6,462.0,358.0,258.8,213.2,2,high_load
9,2018-01-10,177.2,214.4,219.6,210.4,200.0,241.6,268.4,292.4,331.2,561.2,538.4,597.6,583.6,550.4,556.8,547.2,512.8,524.0,523.6,503.2,437.2,352.4,232.4,205.6,2,high_load
10,2018-01-11,164.4,168.0,170.4,168.4,180.8,207.2,219.2,290.0,373.2,570.8,575.6,566.4,533.2,475.6,489.2,507.6,526.8,544.8,520.8,502.4,459.2,303.6,195.2,191.2,2,high_load
11,2018-01-12,185.2,177.6,218.4,218.8,204.0,223.2,238.0,285.6,356.0,652.4,620.0,603.2,572.8,600.8,606.8,544.4,550.8,510.4,448.4,413.6,439.6,366.0,270.4,253.2,2,high_load
12,2018-01-13,234.4,192.8,186.0,191.6,196.4,232.0,219.2,232.8,331.2,470.0,580.8,536.8,464.0,510.4,473.2,436.0,435.2,428.0,321.2,304.0,330.0,328.8,221.2,220.8,2,high_load
13,2018-01-14,222.4,222.4,238.8,218.8,218.8,210.4,202.4,215.2,297.6,534.4,538.0,438.8,400.0,455.2,398.0,356.4,387.2,375.6,366.0,364.0,392.0,284.4,211.2,213.8,2,high_load
14,2018-01-15,201.2,196.4,205.6,192.8,191.2,219.6,247.2,243.2,370.0,506.4,533.2,556.8,499.2,465.2,440.0,458.8,421.6,476.4,381.6,382.8,340.8,230.4,160.4,156.4,2,high_load
15,2018-01-16,149.2,136.4,132.4,163.2,136.0,116.0,143.6,217.2,315.4,413.6,444.8,410.0,402.4,389.6,388.0,398.0,359.2,437.6,378.8,352.8,373.6,280.4,160.8,126.0,0,moderate_load
16,2018-01-17,147.2,121.2,145.6,180.4,148.0,166.0,171.2,199.6,276.0,486.8,514.4,495.2,418.0,400.4,405.6,422.8,435.2,439.6,405.2,410.0,388.0,244.4,203.6,156.4,0,moderate_load
17,2018-01-18,126.4,131.6,155.2,140.8,148.4,158.4,198.0,183.2,269.2,445.6,474.0,444.4,434.4,471.2,479.6,494.4,411.6,429.2,400.0,382.0,343.6,327.6,165.6,140.8,0,moderate_load
