time,power (kw),SourceFileDate
2019-01-01 00:00:00,108.36,2019-01-01
2019-01-01 01:00:00,108.96,2019-01-01
2019-01-01 02:00:00,115.8,2019-01-01
2019-01-01 03:00:00,99.6,2019-01-01
2019-01-01 04:00:00,95.64,2019-01-01
2019-01-01 05:00:00,97.02,2019-01-01
2019-01-01 06:00:00,109.32,2019-01-01
2019-01-01 07:00:00,114.44,2019-01-01
2019-01-01 08:00:00,121.2,2019-01-01
2019-01-01 09:00:00,171.96,2019-01-01
2019-01-01 10:00:00,368.16,2019-01-01
2019-01-01 11:00:00,334.44,2019-01-01
2019-01-01 12:00:00,325.32,2019-01-01
2019-01-01 13:00:00,338.04,2019-01-01
2019-01-01 14:00:00,330.42,2019-01-01
2019-01-01 15:00:00,310.12,2019-01-01
2019-01-01 16:00:00,259.92,2019-01-01
2019-01-01 17:00:00,356.76,2019-01-01
2019-01-01 18:00:00,280.56,2019-01-01
2019-01-01 19:00:00,249.84,2019-01-01
2019-01-01 20:00:00,250.66,2019-01-01
2019-01-01 21:00:00,247.92,2019-01-01
2019-01-01 22:00:00,142.8,2019-01-01
2019-01-01 23:00:00,103.98,2019-01-01
2019-01-02 00:00:00,114.0,2019-01-01
2019-01-02 00:00:00,114.0,2019-01-02
2019-01-02 01:00:00,97.8,2019-01-02
2019-01-02 02:00:00,96.24,2019-01-02
2019-01-02 03:00:00,105.96,2019-01-02
2019-01-02 04:00:00,109.8,2019-01-02
2019-01-02 05:00:00,104.52,2019-01-02
2019-01-02 06:00:00,96.0,2019-01-02
2019-01-02 07:00:00,125.88,2019-01-02
2019-01-02 08:00:00,164.48,2019-01-02
2019-01-02 09:00:00,214.44,2019-01-02
2019-01-02 10:00:00,269.52,2019-01-02
2019-01-02 11:00:00,395.01,2019-01-02
2019-01-02 12:00:00,399.42,2019-01-02
2019-01-02 13:00:00,365.16,2019-01-02
2019-01-02 14:00:00,368.28,2019-01-02
2019-01-02 15:00:00,415.44,2019-01-02
2019-01-02 16:00:00,358.1,2019-01-02
2019-01-02 17:00:00,392.04,2019-01-02
2019-01-02 18:00:00,173.52,2019-01-02
2019-01-02 19:00:00,295.02,2019-01-02
2019-01-02 20:00:00,274.06,2019-01-02
2019-01-02 21:00:00,259.14,2019-01-02
2019-01-02 22:00:00,209.64,2019-01-02
2019-01-02 23:00:00,164.52,2019-01-02
2019-01-03 00:00:00,158.16,2019-01-02
2019-01-03 00:00:00,158.16,2019-01-03
2019-01-03 01:00:00,93.0,2019-01-03
2019-01-03 02:00:00,91.62,2019-01-03
2019-01-03 03:00:00,50.28,2019-01-03
2019-01-03 04:00:00,81.12,2019-01-03
2019-01-03 05:00:00,48.36,2019-01-03
2019-01-03 06:00:00,88.44,2019-01-03
2019-01-03 07:00:00,87.72,2019-01-03
2019-01-03 08:00:00,154.2,2019-01-03
2019-01-03 09:00:00,224.16,2019-01-03
2019-01-03 10:00:00,298.08,2019-01-03
2019-01-03 11:00:00,304.44,2019-01-03
2019-01-03 12:00:00,377.52,2019-01-03
2019-01-03 13:00:00,382.44,2019-01-03
2019-01-03 14:00:00,340.8,2019-01-03
2019-01-03 15:00:00,364.92,2019-01-03
2019-01-03 16:00:00,350.88,2019-01-03
2019-01-03 17:00:00,413.16,2019-01-03
2019-01-03 18:00:00,320.52,2019-01-03
2019-01-03 19:00:00,334.56,2019-01-03
2019-01-03 20:00:00,295.68,2019-01-03
2019-01-03 21:00:00,294.12,2019-01-03
