date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,cluster
2019-01-01,108.36,108.96,115.8,99.6,95.64,97.02,109.32,114.44,121.2,171.96,368.16,334.44,325.32,338.04,330.42,310.12,259.92,356.76,280.56,249.84,250.66,247.92,142.8,103.98,2
2019-01-02,114.0,97.8,96.24,105.96,109.8,104.52,96.0,125.88,164.48,214.44,269.52,395.01,399.42,365.16,368.28,415.44,358.1,392.04,173.52,295.02,274.06,259.14,209.64,164.52,2
2019-01-03,158.16,93.0,91.62,50.28,81.12,48.36,88.44,87.72,154.2,224.16,298.08,304.44,377.52,382.44,340.8,364.92,350.88,413.16,320.52,334.56,295.68,294.12,213.24,179.04,2
2019-01-04,166.44,144.36,87.65,92.28,90.0,87.24,81.0,79.2,122.4,190.68,388.44,416.04,407.16,421.8,397.8,421.2,403.2,236.84,489.21,421.32,437.76,339.72,215.88,139.08,2
2019-01-05,109.92,121.62,112.12,109.79,123.36,110.64,114.4,112.44,129.24,192.72,350.88,320.1,333.9,290.16,302.64,334.57,317.96,386.95,186.33,317.88,303.12,145.0,158.04,95.88,2
2019-01-06,84.42,87.66,79.32,78.84,72.0,69.72,75.6,74.64,99.4,207.12,331.68,406.92,466.68,505.2,483.06,490.68,394.32,379.2,327.24,336.48,302.16,273.0,170.4,116.76,0
2019-01-07,95.44,93.3,93.6,84.12,76.44,73.02,70.68,77.46,97.68,208.2,256.56,277.08,340.44,324.6,168.0,303.24,304.44,342.12,308.16,283.2,237.12,225.84,176.4,149.88,0
2019-01-08,113.88,127.84,115.92,100.38,116.04,97.68,98.04,85.16,102.96,187.2,242.94,257.16,250.62,245.64,257.76,298.36,339.24,335.52,300.54,304.8,281.4,257.4,179.4,183.6,2
2019-01-09,123.6,92.04,39.96,103.92,93.96,75.24,91.44,85.68,230.88,491.52,571.8,564.3,628.44,655.56,579.72,592.2,587.88,607.08,388.68,336.72,300.36,249.36,188.48,126.48,2
2019-01-10,104.16,103.8,97.92,86.92,73.68,70.64,72.36,96.0,101.4,165.6,297.2,331.2,333.6,370.8,396.0,402.0,396.84,414.0,347.28,315.72,276.96,270.3,215.76,136.72,2
2019-01-11,121.56,113.04,114.6,108.6,90.3,109.68,119.82,149.34,174.36,279.06,321.84,358.44,411.0,387.72,357.36,340.74,355.8,411.24,381.72,351.36,338.2,284.28,169.2,136.14,2
2019-01-12,102.0,93.6,87.6,87.6,82.2,85.2,89.1,96.6,103.8,132.6,278.7,373.2,389.1,308.4,314.4,318.0,312.6,382.2,344.4,326.7,321.0,289.8,175.2,126.96,0
2019-01-13,119.64,111.12,114.24,54.72,94.68,73.92,72.84,76.32,101.4,150.24,284.52,302.04,298.2,282.96,294.84,281.88,247.02,303.12,347.28,363.24,171.84,201.84,138.0,49.6,0
2019-01-14,46.56,87.6,86.4,82.2,90.9,90.3,94.8,91.2,144.0,200.7,233.6,241.2,271.5,426.0,435.6,438.48,436.08,362.28,266.88,248.76,232.28,216.48,161.58,103.8,0
2019-01-15,93.72,71.4,74.4,61.2,65.0,55.8,68.4,188.4,84.0,161.98,224.4,259.8,275.88,257.16,224.22,275.88,298.62,354.54,282.24,297.36,278.8,224.64,187.2,119.52,0
2019-01-16,108.06,105.84,109.92,98.88,98.04,96.12,95.16,123.0,110.16,73.08,120.84,168.6,230.4,203.4,239.7,265.2,324.3,319.2,285.9,287.7,292.2,269.1,168.6,120.4,0
2019-01-17,102.01,100.44,97.6,85.2,85.44,88.32,97.89,110.4,112.32,217.2,306.84,329.28,355.12,351.84,367.2,366.84,366.96,409.44,344.52,307.32,297.6,287.54,180.36,134.54,2
2019-01-18,40.68,43.8,40.37,104.4,97.92,88.92,92.76,106.56,138.36,186.84,283.88,331.32,351.12,359.76,317.52,357.96,330.96,389.34,387.96,370.3,318.6,285.48,163.76,116.76,0
2019-01-19,108.0,109.98,100.38,114.24,106.4,104.88,105.36,93.24,49.8,141.92,301.68,346.96,338.76,340.5,343.32,338.88,346.92,405.84,386.82,329.28,335.88,261.0,159.0,118.44,2
2019-01-20,107.28,101.94,99.24,104.64,102.24,94.56,96.96,101.88,119.76,176.64,333.6,340.86,334.56,314.64,290.52,331.08,306.0,317.04,360.96,347.64,292.5,233.88,158.52,132.0,2
2019-01-21,110.46,112.32,110.28,106.62,108.36,114.96,108.12,102.48,146.52,206.16,220.32,232.92,284.16,282.84,291.0,271.44,254.28,295.38,274.68,164.31,291.36,276.36,132.6,193.8,2
2019-01-22,200.52,114.8,128.64,117.0,111.9,86.84,89.04,100.56,112.2,213.0,297.96,336.18,326.92,344.37,365.58,481.76,336.6,483.72,565.8,513.72,537.0,501.12,445.11,211.56,2
