time,power (kw),SourceFileDate
2016-01-01 00:00:00,392.4,2016-01-01
2016-01-01 01:00:00,356.92,2016-01-01
2016-01-01 02:00:00,305.0,2016-01-01
2016-01-01 03:00:00,284.57,2016-01-01
2016-01-01 04:00:00,262.47,2016-01-01
2016-01-01 05:00:00,259.7,2016-01-01
2016-01-01 06:00:00,222.85,2016-01-01
2016-01-01 07:00:00,217.27,2016-01-01
2016-01-01 08:00:00,248.55,2016-01-01
2016-01-01 09:00:00,250.9,2016-01-01
2016-01-01 10:00:00,269.43,2016-01-01
2016-01-01 11:00:00,252.33,2016-01-01
2016-01-01 12:00:00,246.0,2016-01-01
2016-01-01 13:00:00,256.7,2016-01-01
2016-01-01 14:00:00,261.2,2016-01-01
2016-01-01 15:00:00,270.85,2016-01-01
2016-01-01 16:00:00,269.6,2016-01-01
2016-01-01 17:00:00,295.7,2016-01-01
2016-01-01 18:00:00,341.45,2016-01-01
2016-01-01 19:00:00,380.62,2016-01-01
2016-01-01 20:00:00,392.2,2016-01-01
2016-01-01 21:00:00,423.7,2016-01-01
2016-01-01 22:00:00,386.83,2016-01-01
2016-01-01 23:00:00,413.03,2016-01-01
2016-01-02 00:00:00,383.37,2016-01-01
2016-01-02 00:00:00,383.37,2016-01-02
2016-01-02 01:00:00,332.6,2016-01-02
2016-01-02 02:00:00,291.15,2016-01-02
2016-01-02 03:00:00,263.7,2016-01-02
2016-01-02 04:00:00,243.6,2016-01-02
2016-01-02 05:00:00,242.0,2016-01-02
2016-01-02 06:00:00,205.33,2016-01-02
2016-01-02 07:00:00,212.7,2016-01-02
2016-01-02 08:00:00,228.0,2016-01-02
2016-01-02 09:00:00,240.25,2016-01-02
2016-01-02 10:00:00,246.6,2016-01-02
2016-01-02 11:00:00,267.9,2016-01-02
2016-01-02 12:00:00,237.0,2016-01-02
2016-01-02 13:00:00,253.4,2016-01-02
2016-01-02 14:00:00,236.07,2016-01-02
2016-01-02 15:00:00,248.6,2016-01-02
2016-01-02 16:00:00,251.85,2016-01-02
2016-01-02 17:00:00,260.93,2016-01-02
2016-01-02 18:00:00,350.6,2016-01-02
2016-01-02 19:00:00,327.5,2016-01-02
2016-01-02 20:00:00,344.0,2016-01-02
2016-01-02 21:00:00,356.8,2016-01-02
2016-01-02 22:00:00,374.8,2016-01-02
2016-01-02 23:00:00,361.2,2016-01-02
2016-01-03 00:00:00,355.55,2016-01-02
2016-01-03 00:00:00,355.55,2016-01-03
2016-01-03 01:00:00,327.6,2016-01-03
2016-01-03 02:00:00,271.7,2016-01-03
2016-01-03 03:00:00,239.8,2016-01-03
2016-01-03 04:00:00,244.77,2016-01-03
2016-01-03 05:00:00,224.1,2016-01-03
2016-01-03 06:00:00,194.85,2016-01-03
2016-01-03 07:00:00,193.0,2016-01-03
2016-01-03 08:00:00,215.33,2016-01-03
2016-01-03 09:00:00,216.4,2016-01-03
2016-01-03 10:00:00,252.6,2016-01-03
2016-01-03 11:00:00,254.05,2016-01-03
2016-01-03 12:00:00,233.2,2016-01-03
