,date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,cluster,pattern
0,2016-01-01,392.4,356.92,305.0,284.57,262.47,259.7,222.85,217.27,248.55,250.9,269.43,252.33,246.0,256.7,261.2,270.85,269.6,295.7,341.45,380.62,392.2,423.7,386.83,413.03,2,moderate_load
1,2016-01-02,383.37,332.6,291.15,263.7,243.6,242.0,205.33,212.7,228.0,240.25,246.6,267.9,237.0,253.4,236.07,248.6,251.85,260.93,350.6,327.5,344.0,356.8,374.8,361.2,2,moderate_load
2,2016-01-03,355.55,327.6,271.7,239.8,244.77,224.1,194.85,193.0,215.33,216.4,252.6,254.05,233.2,264.0,255.6,268.2,276.2,283.4,354.25,329.0,374.1,416.35,413.6,417.51,2,moderate_load
3,2016-01-04,347.9,290.4,288.0,243.3,226.7,218.6,201.3,214.85,245.2,251.85,230.53,241.8,255.65,252.6,225.6,222.3,225.85,257.5,293.95,358.2,376.8,412.2,420.6,439.53,2,moderate_load
4,2016-01-05,406.0,312.45,276.17,247.51,232.75,237.93,209.87,221.5,281.5,295.15,230.2,237.47,244.4,253.57,254.3,263.3,279.3,285.0,367.14,396.0,431.36,453.4,487.2,471.8,2,moderate_load
5,2016-01-06,407.7,331.7,281.8,264.18,269.7,257.57,220.1,227.2,296.5,274.4,256.25,262.63,255.9,286.2,264.65,257.2,243.95,281.13,377.7,378.1,440.65,500.4,496.4,447.85,2,moderate_load
6,2016-01-07,388.0,310.05,304.4,265.3,256.1,247.27,212.0,242.15,274.4,271.75,206.75,268.33,285.4,283.25,234.0,271.27,277.6,315.5,381.94,430.45,495.8,526.5,550.9,530.0,2,moderate_load
7,2016-01-08,457.7,367.38,335.2,300.92,280.6,269.27,264.25,269.3,304.55,287.6,249.6,276.8,276.0,276.32,267.4,261.31,295.8,296.7,364.4,445.5,493.8,514.07,537.2,546.95,2,moderate_load
8,2016-01-09,464.4,398.9,331.6,301.05,274.0,263.25,256.0,266.6,258.6,320.0,332.33,283.67,313.8,286.4,294.93,320.0,307.55,338.8,383.97,381.1,415.3,435.4,459.6,448.15,2,moderate_load
9,2016-01-10,409.6,377.83,304.54,287.43,266.5,246.27,222.08,217.4,263.0,267.0,298.11,303.5,314.28,313.8,342.53,348.73,333.7,353.8,406.0,446.47,493.6,508.33,503.47,468.87,2,moderate_load
10,2016-01-11,413.0,350.2,327.0,272.07,250.0,254.95,227.8,238.73,296.0,266.4,306.1,308.85,311.27,316.2,277.75,256.7,279.45,325.6,414.8,449.3,515.25,532.13,568.07,561.2,2,moderate_load
11,2016-01-12,479.6,406.6,378.75,300.8,299.65,277.8,252.6,306.7,375.1,353.0,271.9,295.86,264.8,310.6,307.53,310.53,294.6,325.27,407.5,471.42,475.2,542.15,568.27,555.7,2,moderate_load
