date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,cluster
2018-01-01,309.33,276.33,251.0,241.33,219.33,201.0,195.67,186.0,212.33,190.33,219.33,225.0,236.33,260.0,232.17,216.33,184.67,258.33,267.92,284.67,318.0,321.0,341.0,344.0,2
2018-01-02,343.33,249.0,239.33,234.67,213.5,216.33,172.0,180.0,223.33,199.67,208.67,232.33,221.67,207.33,210.33,216.0,203.33,216.33,284.5,302.33,298.33,323.67,351.0,369.33,2
2018-01-03,324.33,295.0,247.0,215.5,202.33,219.0,184.67,197.33,208.67,247.33,213.0,200.67,225.0,221.67,218.67,207.0,193.0,235.67,297.0,365.67,376.0,385.0,383.83,404.67,2
2018-01-04,361.25,306.33,264.33,242.33,224.0,214.67,197.33,211.0,231.33,236.5,256.33,235.67,255.33,242.67,253.33,234.67,242.0,273.67,318.67,337.0,354.0,375.67,404.0,413.17,0
2018-01-05,392.33,308.67,272.83,246.33,232.33,220.0,228.0,219.75,269.0,273.0,251.0,242.33,218.0,243.67,234.33499999999998,225.0,219.83,271.67,320.0,353.83,396.17,388.0,417.5,417.0,0
2018-01-06,436.0,349.33,294.33,270.67,257.0,274.67,215.33,217.67,256.33,264.33,248.0,245.67,268.33,279.0,292.33,274.67,288.67,298.67,326.67,344.0,372.5,392.0,395.0,421.33,0
2018-01-07,399.33,346.33,298.5,273.67,264.83,226.0,218.33,209.67,218.67,221.0,249.0,287.33,275.33,284.33,275.0,278.33,301.33,285.67,331.0,368.33,381.67,376.33,410.33,428.0,0
2018-01-08,414.67,356.0,306.33,262.0,248.67,254.0,221.33,256.33,269.0,289.33,236.5,261.33,244.0,241.33,253.0,255.67,266.0,286.67,334.33,378.67,423.0,435.0,466.33,477.0,0
2018-01-09,448.67,404.0,307.0,291.33,275.67,264.67,238.0,231.0,270.67,289.33,260.0,279.0,273.0,250.0,216.0,245.0,223.67,282.0,308.0,360.33,386.33,438.33,454.67,433.67,0
2018-01-10,439.5,389.0,343.67,268.17,247.67,231.5,223.33,255.5,274.17,265.83,256.33,247.83,250.67,234.5,226.83,231.5,235.83,261.17,285.67,355.83,358.67,397.33,431.5,436.0,0
2018-01-11,402.67,324.0,319.33,286.33,262.33,236.67,211.33,244.33,259.67,235.67,257.0,214.17,242.67,221.0,250.83,235.0,243.0,258.33,322.0,324.67,356.0,416.0,452.33,426.17,0
2018-01-12,371.33,320.67,291.67,268.67,258.33,247.17,228.83,262.33,253.67,230.83,210.33,247.17,247.17,250.0,261.5,238.83,242.17,280.33,300.33,306.67,340.67,380.0,397.0,447.83,0
2018-01-13,418.0,368.0,298.67,258.0,248.5,226.67,211.67,209.5,251.5,245.67,270.0,246.5,262.0,275.5,250.0,258.5,285.0,299.17,303.17,327.5,329.0,377.33,399.5,378.0,0
2018-01-14,351.5,315.0,268.67,250.67,254.33,222.33,228.5,208.5,228.0,215.17,254.0,247.83,267.0,234.33,246.67,231.5,264.17,262.0,322.33,321.67,342.33,397.33,414.42,381.67,0
2018-01-15,363.33,299.0,260.67,243.5,228.67,221.33,214.33,223.08,225.67,235.33,212.0,196.67,218.67,213.67,204.0,187.33,176.0,219.67,256.33,298.0,314.67,335.0,379.67,358.33,2
2018-01-16,315.0,259.67,240.67,211.0,208.17,201.0,182.5,192.5,195.25,198.0,200.33,185.0,183.5,189.33,177.67,173.33,153.83,213.5,247.67,293.17,287.17,300.67,353.0,301.83,2
2018-01-17,266.17,239.83,218.17,206.0,193.67,201.0,172.17,194.33,208.83,173.33,183.0,165.67,191.0,172.67,199.0,191.67,188.0,197.67,256.33,270.17,313.0,302.67,344.67,300.0,2
2018-01-18,302.0,262.67,225.33,190.5,192.67,188.67,155.5,179.67,212.5,176.0,170.67,170.67,173.67,181.0,178.67,167.67,198.33,221.5,252.5,296.17,294.17,337.0,332.5,336.0,2
2018-01-19,310.0,259.33,232.33,209.0,186.33,179.33,169.0,176.0,187.0,183.33,168.67,175.67,167.33,185.67,180.0,166.0,169.0,207.33,266.0,281.0,268.0,283.0,307.0,301.33,2
2018-01-20,292.0,263.0,221.67,204.67,194.0,201.5,160.86,175.33,183.33,201.0,203.33,217.0,221.0,236.0,206.17,212.0,204.33,237.0,278.67,288.67,279.0,286.0,302.0,270.83,2
2018-01-21,275.17,242.5,232.33,193.33,196.67,193.0,162.83,170.67,174.0,171.67,192.0,230.0,222.0,229.0,208.67,211.0,216.0,243.83,294.83,293.17,338.5,330.0,336.67,322.67,2
2018-01-22,288.67,239.0,229.17,192.67,193.0,194.17,203.0,181.33,192.0,164.33,170.33,194.0,148.67,171.0,167.0,157.67,173.33,185.33,246.17,287.33,309.83,342.5,334.5,300.33,2
2018-01-23,276.33,237.67,226.33,185.0,178.83,182.0,174.0,180.33,192.5,173.67,179.67,171.67,176.67,194.67,167.67,166.67,174.67,219.17,255.67,296.33,331.0,328.0,417.0,353.0,2
2018-01-24,301.0,253.67,224.5,206.0,187.67,203.33,175.33,200.5,205.5,199.17,187.17,179.0,162.5,166.0,176.83,166.5,160.5,206.5,278.0,318.5,355.0,364.5,351.83,339.83,2
2018-01-25,289.33,269.0,252.0,244.67,223.67,210.33,198.17,198.33,238.33,194.92,190.0,189.67,197.67,194.17,199.33,194.0,176.33,223.83,265.0,288.0,356.0,373.0,388.0,336.33,2
2018-01-26,317.0,280.67,261.0,253.5,223.67,209.67,210.75,198.67,234.0,221.0,221.33,215.67,218.33,196.33,195.0,176.0,199.0,219.0,262.0,297.33,335.67,345.0,378.67,328.33,2
2018-01-27,312.67,273.33,253.0,229.5,230.0,222.67,206.33,226.67,216.48,232.5,232.33,232.67,232.33,252.92,240.83,235.25,227.0,265.5,292.83,312.67,330.17,341.5,353.67,336.67,2
2018-01-28,328.0,273.0,236.67,229.5,217.0,211.33,198.5,212.33,210.0,220.83,208.67,229.5,243.33,242.67,248.17,256.0,246.83,286.33,313.33,338.83,343.33,352.67,356.83,323.67,2
2018-01-29,328.67,264.67,236.0,216.17,204.83,208.33,182.67,190.0,245.33,192.0,194.83,187.0,189.0,206.67,185.67,170.67,184.33,204.0,257.0,325.0,339.67,385.67,419.17,371.0,2
