date,total_load,peak_load,valley_load,load_range,load_std,time_of_peak,time_of_valley,morning_load,afternoon_load,day_of_week,is_weekend
2025-01-01,16436.88,353.36,53.36,300.0,106.99966147511623,07:30:00,22:15:00,8889.6,7547.279999999999,2,False
2025-01-02,16381.600000000008,441.04,52.96,388.08000000000004,118.2879828453171,08:15:00,03:00:00,9117.040000000003,7264.560000000001,3,False
2025-01-03,19059.03999999999,512.48,54.96,457.52000000000004,147.8521225283572,08:00:00,00:00:00,10989.119999999999,8069.919999999997,4,False
2025-01-04,8653.840000000002,118.64,64.24,54.400000000000006,14.504182748193104,07:30:00,16:00:00,4587.04,4066.8,5,True
2025-01-05,15180.799999999997,323.36,98.56,224.8,58.853618422349435,06:30:00,00:00:00,8985.519999999999,6195.279999999999,6,True
2025-01-06,23106.40000000001,726.64,73.6,653.04,185.94156373875646,07:45:00,22:15:00,14831.600000000002,8274.799999999997,0,False
2025-01-07,24329.760000000013,721.68,73.84,647.8399999999999,198.60380527440483,07:45:00,22:15:00,15488.080000000004,8841.68,1,False
2025-01-08,24850.24,726.16,66.8,659.36,202.0057427149648,07:45:00,22:15:00,15629.119999999999,9221.119999999999,2,False
2025-01-09,21149.119999999995,649.36,57.04,592.32,176.6462565317099,07:00:00,23:45:00,13143.680000000002,8005.4400000000005,3,False
2025-01-10,18377.760000000006,495.04,54.32,440.72,140.9541475874522,07:00:00,00:00:00,10593.28,7784.4800000000005,4,False
2025-01-11,10776.88,149.92,69.76,80.15999999999998,20.778196652749987,20:45:00,00:00:00,4644.8,6132.080000000001,5,True
2025-01-12,17465.200000000004,349.36,89.92,259.44,77.18463931810956,06:45:00,15:30:00,11027.68,6437.5199999999995,6,True
2025-01-13,26565.04,668.72,63.28,605.44,194.97738729707348,07:00:00,22:15:00,17200.4,9364.640000000001,0,False
2025-01-14,21945.760000000006,693.6,59.04,634.5600000000001,184.91424747514245,07:15:00,23:45:00,13719.76,8226.0,1,False
2025-01-15,19464.159999999993,642.96,56.0,586.96,174.23542499591974,07:00:00,22:45:00,12712.72,6751.440000000001,2,False
2025-01-16,19714.399999999998,567.12,54.4,512.72,162.4897195690054,07:45:00,01:00:00,11554.480000000003,8159.919999999998,3,False
2025-01-17,19655.360000000004,593.04,57.68,535.36,162.95057551402172,07:30:00,01:45:00,12000.96,7654.400000000001,4,False
2025-01-18,9614.640000000001,145.76,64.16,81.6,18.2172159754101,23:30:00,00:00:00,4693.040000000001,4921.6,5,True
2025-01-19,17061.359999999997,324.16,105.84,218.32000000000002,67.73472263563436,07:00:00,15:00:00,10431.199999999999,6630.160000000002,6,True
2025-01-20,25271.36000000001,756.16,70.72,685.4399999999999,202.1331302966161,07:45:00,22:15:00,16128.400000000003,9142.959999999997,0,False
2025-01-21,23858.000000000004,750.56,76.24,674.3199999999999,202.97088417419903,07:30:00,22:00:00,15231.920000000002,8626.080000000002,1,False
2025-01-22,23417.840000000007,721.28,70.88,650.4,194.22072240063508,07:30:00,22:15:00,14809.519999999999,8608.32,2,False
2025-01-23,21717.2,656.4,68.72,587.68,176.77546131011366,07:30:00,22:30:00,13189.6,8527.6,3,False
2025-01-24,23878.400000000012,730.96,81.04,649.9200000000001,189.07873293345108,07:30:00,00:15:00,14663.600000000004,9214.799999999997,4,False
2025-01-25,9683.040000000003,134.8,65.2,69.60000000000001,20.286694005781488,06:45:00,15:45:00,5647.3600000000015,4035.6800000000003,5,True
2025-01-26,13656.399999999998,293.04,76.56,216.48000000000002,61.3076568012197,06:30:00,16:15:00,8423.359999999999,5233.040000000001,6,True
2025-01-27,22164.16,728.24,56.0,672.24,198.961401274702,07:30:00,23:45:00,14953.440000000004,7210.7199999999975,0,False
2025-01-28,20477.679999999997,531.36,55.6,475.76,167.09050017827036,07:45:00,00:00:00,11702.559999999996,8775.119999999995,1,False
2025-01-29,22736.79999999998,654.8,80.32,574.48,180.40509717776632,08:00:00,00:45:00,13886.399999999998,8850.400000000001,2,False
2025-01-30,25041.20000000002,732.0,78.32,653.6800000000001,205.74865148201255,07:45:00,23:30:00,15740.080000000002,9301.119999999995,3,False
2025-01-31,24913.84,697.84,84.4,613.44,193.43096282744105,07:30:00,00:15:00,14697.919999999996,10215.919999999996,4,False
2025-02-01,15835.679999999998,211.52,126.16,85.36000000000001,23.58064451598967,09:15:00,00:00:00,8281.28,7554.4,5,True
2025-02-02,17418.0,389.2,71.12,318.08,101.13823250227487,06:15:00,16:30:00,12198.959999999995,5219.04,6,True
2025-02-03,24508.48000000001,783.04,59.36,723.68,214.56543905085863,07:00:00,23:15:00,15806.880000000001,8701.600000000002,0,False
2025-02-04,23765.920000000002,816.32,59.6,756.72,216.7839440872757,07:30:00,23:45:00,15513.039999999995,8252.880000000001,1,False
2025-02-05,17585.119999999995,603.6,54.32,549.28,159.39535413335685,07:30:00,23:15:00,11454.800000000003,6130.319999999997,2,False
2025-02-06,15570.88,492.96,51.6,441.35999999999996,128.96652976372684,07:30:00,23:15:00,9647.76,5923.120000000001,3,False
2025-02-07,13593.439999999999,306.72,50.64,256.08000000000004,83.44185897241225,08:45:00,04:00:00,7200.319999999999,6393.119999999998,4,False
2025-02-08,6783.919999999999,92.72,60.32,32.4,7.675854098427801,23:30:00,15:00:00,3274.8000000000006,3509.1200000000003,5,True
2025-02-09,14634.800000000001,288.88,85.52,203.36,68.34529372264842,07:00:00,00:30:00,8353.12,6281.680000000001,6,True
2025-02-10,24610.800000000003,770.96,68.08,702.88,211.56732011596836,07:30:00,23:15:00,16573.359999999997,8037.439999999999,0,False
2025-02-11,20825.99999999999,740.08,53.36,686.72,196.27272135314274,07:00:00,22:30:00,14205.76,6620.24,1,False
2025-02-12,16941.91999999999,535.52,51.68,483.84,150.12337112253036,07:15:00,22:45:00,10938.719999999998,6003.2,2,False
2025-02-13,13364.800000000003,320.72,51.44,269.28000000000003,90.14799633662845,08:00:00,00:30:00,7479.920000000001,5884.880000000001,3,False
2025-02-14,14112.88,318.8,52.96,265.84000000000003,87.68725699494907,16:15:00,00:15:00,6899.12,7213.759999999997,4,False
2025-02-15,9398.64,127.6,69.28,58.31999999999999,15.28133012948532,23:45:00,17:30:00,5034.08,4364.56,5,True
2025-02-16,14676.080000000004,358.56,60.32,298.24,92.73949996649263,06:15:00,16:00:00,10052.640000000001,4623.4400000000005,6,True
2025-02-17,21363.040000000015,626.16,70.72,555.4399999999999,181.0195391760479,07:00:00,22:00:00,13275.600000000006,8087.440000000001,0,False
2025-02-18,19805.759999999995,663.84,67.28,596.5600000000001,165.95762543492845,07:15:00,01:30:00,12090.479999999996,7715.280000000001,1,False
2025-02-19,20584.39999999999,627.28,61.52,565.76,169.7349990002475,07:30:00,23:15:00,13027.28,7557.120000000001,2,False
2025-02-20,16681.60000000001,411.36,57.44,353.92,118.70051459709026,07:00:00,02:15:00,8947.52,7734.079999999997,3,False
2025-02-21,15365.52,348.88,56.4,292.48,104.51870949109643,08:45:00,23:30:00,8489.84,6875.680000000001,4,False
2025-02-22,7414.960000000001,100.0,58.32,41.68,10.355434847325002,23:00:00,02:30:00,3520.1600000000003,3894.7999999999984,5,True
2025-02-23,13701.359999999999,322.48,58.64,263.84000000000003,85.71969473384257,06:45:00,17:15:00,8870.64,4830.719999999999,6,True
2025-02-24,25043.519999999997,760.48,59.76,700.72,211.80121675511535,07:00:00,22:15:00,16015.679999999998,9027.839999999998,0,False
2025-02-25,21139.279999999995,666.88,58.0,608.88,191.97315180523316,07:00:00,00:30:00,13467.36,7671.92,1,False
2025-02-26,19634.47999999999,633.92,54.16,579.76,169.9252344301468,07:00:00,22:30:00,12070.560000000001,7563.920000000004,2,False
2025-02-27,17624.16,489.28,53.84,435.43999999999994,136.09036220951057,08:30:00,23:45:00,10060.720000000001,7563.439999999999,3,False
2025-02-28,21136.08000000001,539.84,54.72,485.12,170.7431149263034,08:00:00,00:15:00,11794.0,9342.079999999996,4,False
2025-03-01,6132.560000000001,87.28,44.64,42.64,9.706413687179559,06:00:00,15:15:00,3321.92,2810.6400000000003,5,True
2025-03-02,12739.44,340.64,57.2,283.44,85.44063883311343,06:30:00,15:30:00,8497.84,4241.599999999999,6,True
2025-03-03,22013.520000000008,727.28,54.88,672.4,195.53059350339393,07:30:00,22:45:00,14226.719999999998,7786.800000000001,0,False
2025-03-04,19637.199999999997,589.2,54.56,534.6400000000001,164.70321623847622,07:00:00,00:00:00,11787.679999999998,7849.520000000001,1,False
2025-03-05,22454.160000000007,692.8,58.24,634.56,190.69440368792874,07:45:00,22:30:00,14071.92,8382.239999999998,2,False
2025-03-06,21006.799999999992,644.16,58.56,585.5999999999999,179.5537805705939,07:00:00,01:45:00,13039.76,7967.04,3,False
2025-03-07,21235.839999999997,564.32,68.08,496.24000000000007,166.39875411139525,07:00:00,22:30:00,12190.479999999996,9045.360000000002,4,False
2025-03-08,8752.640000000001,122.32,69.68,52.639999999999986,10.883879597263068,23:00:00,14:45:00,4476.240000000001,4276.400000000002,5,True
2025-03-09,16624.64,354.16,87.12,267.04,85.22421611214634,05:15:00,13:30:00,10747.12,5877.52,6,True
2025-03-10,25070.160000000003,710.0,72.24,637.76,201.76706455451884,06:15:00,21:45:00,16910.399999999998,8159.76,0,False
2025-03-11,25367.600000000002,726.56,78.56,648.0,208.40249777100314,07:00:00,00:00:00,16742.640000000003,8624.960000000001,1,False
